exp_ID	alpha_EZ	alpha_ZE	t5p	t5p_first
rational_micZ20.0	-0.03	-0.05	[939.2525309]	939.2525309
rational_micZ20.1	-0.03	-0.03333333333333334	[1206.69993888]	1206.69993888
rational_micZ20.2	-0.03	-0.01666666666666667	[1249.2530029]	1249.2530029
rational_micZ20.3	-0.03	0.0	[1277.50248888]	1277.50248888
rational_micZ20.4	-0.03	0.0033333333333333335	[1282.76127238]	1282.76127238
rational_micZ20.5	-0.03	0.006666666666666667	[1287.9759412]	1287.9759412
rational_micZ20.6	-0.03	0.01	[1293.16794437]	1293.16794437
rational_micZ20.7	-0.019999999999999997	-0.05	[926.14642086]	926.14642086
rational_micZ20.8	-0.019999999999999997	-0.03333333333333334	[965.24837351]	965.24837351
rational_micZ20.9	-0.019999999999999997	-0.01666666666666667	[1175.53544467]	1175.53544467
rational_micZ20.10	-0.019999999999999997	0.0	[1201.23796074]	1201.23796074
rational_micZ20.11	-0.019999999999999997	0.0033333333333333335	[1205.35503306]	1205.35503306
rational_micZ20.12	-0.019999999999999997	0.006666666666666667	[1209.23837408]	1209.23837408
rational_micZ20.13	-0.019999999999999997	0.01	[1212.91424785]	1212.91424785
rational_micZ20.14	-0.009999999999999998	-0.05	[921.60680726]	921.60680726
rational_micZ20.15	-0.009999999999999998	-0.03333333333333334	[934.0255841]	934.0255841
rational_micZ20.16	-0.009999999999999998	-0.01666666666666667	[946.72128825]	946.72128825
rational_micZ20.17	-0.009999999999999998	0.0	[960.13813019]	960.13813019
rational_micZ20.18	-0.009999999999999998	0.0033333333333333335	[962.96654975]	962.96654975
rational_micZ20.19	-0.009999999999999998	0.006666666666666667	[ 965.86274235 1103.65127208 1118.61590936]	965.86274235
rational_micZ20.20	-0.009999999999999998	0.01	[ 968.83747261 1093.80583656 1129.08450237]	968.83747261
rational_micZ20.21	0.0	-0.05	[919.29455394]	919.29455394
rational_micZ20.22	0.0	-0.03333333333333334	[919.29455394]	919.29455394
rational_micZ20.23	0.0	-0.01666666666666667	[919.29455393]	919.29455393
rational_micZ20.24	0.0	0.0	[919.29455393]	919.29455393
rational_micZ20.25	0.0	0.0033333333333333335	[919.29455393]	919.29455393
rational_micZ20.26	0.0	0.006666666666666667	[919.29455393]	919.29455393
rational_micZ20.27	0.0	0.01	[919.29455393]	919.29455393
rational_micZ20.28	0.006666666666666667	-0.05	[918.29405127]	918.29405127
rational_micZ20.29	0.006666666666666667	-0.03333333333333334	[912.93077681]	912.93077681
rational_micZ20.30	0.006666666666666667	-0.01666666666666667	[907.56113199]	907.56113199
rational_micZ20.31	0.006666666666666667	0.0	[902.18437992]	902.18437992
rational_micZ20.32	0.006666666666666667	0.0033333333333333335	[901.10954186]	901.10954186
rational_micZ20.33	0.006666666666666667	0.006666666666666667	[900.035147]	900.035147
rational_micZ20.34	0.006666666666666667	0.01	[898.95665053]	898.95665053
rational_micZ20.35	0.013333333333333334	-0.05	[917.53973604]	917.53973604
rational_micZ20.36	0.013333333333333334	-0.03333333333333334	[908.10211838]	908.10211838
rational_micZ20.37	0.013333333333333334	-0.01666666666666667	[898.53213438]	898.53213438
rational_micZ20.38	0.013333333333333334	0.0	[888.16887465]	888.16887465
rational_micZ20.39	0.013333333333333334	0.0033333333333333335	[885.9466319]	885.9466319
rational_micZ20.40	0.013333333333333334	0.006666666666666667	[883.66971606]	883.66971606
rational_micZ20.41	0.013333333333333334	0.01	[881.33660708]	881.33660708
rational_micZ20.42	0.02	-0.05	[916.9506492]	916.9506492
rational_micZ20.43	0.02	-0.03333333333333334	[904.30133588]	904.30133588
rational_micZ20.44	0.02	-0.01666666666666667	[890.95955888]	890.95955888
rational_micZ20.45	0.02	0.0	[875.25327567]	875.25327567
rational_micZ20.46	0.02	0.0033333333333333335	[871.73684333]	871.73684333
rational_micZ20.47	0.02	0.006666666666666667	[868.07091029]	868.07091029
rational_micZ20.48	0.02	0.01	[864.24322778]	864.24322778
